date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:32	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:28%20GMT	http://dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v1.eot?-9hbgac	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v157a1.eot	(from http://dev.sunrisetheme.com/html-lyon/css/js_composer.css)
22:33:32	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:28%20GMT	http://dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v1.eot?	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v1d41d.eot	(from http://dev.sunrisetheme.com/html-lyon/css/js_composer.css)
22:33:33	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:29%20GMT	http://dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v1.woff?-9hbgac	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v157a1.woff	(from http://dev.sunrisetheme.com/html-lyon/css/js_composer.css)
22:33:33	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:29%20GMT	http://dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v1.ttf?-9hbgac	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v157a1.ttf	(from http://dev.sunrisetheme.com/html-lyon/css/js_composer.css)
22:33:34	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:30%20GMT	http://dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v1.svg?-9hbgac	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/fonts/vc_grid/vc_grid_v157a1.svg	(from http://dev.sunrisetheme.com/html-lyon/css/js_composer.css)
22:33:34	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:30%20GMT	http://dev.sunrisetheme.com/html-lyon/css/images/animated-overlay.gif	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/css/images/animated-overlay.gif	(from http://dev.sunrisetheme.com/html-lyon/css/jquery-ui.css)
22:33:35	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:31%20GMT	http://dev.sunrisetheme.com/html-lyon/css/images/ui-bg_diagonals-thick_18_b81900_40x40.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/css/images/ui-bg_diagonals-thick_18_b81900_40x40.png	(from http://dev.sunrisetheme.com/html-lyon/css/jquery-ui.css)
22:33:35	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:31%20GMT	http://dev.sunrisetheme.com/html-lyon/css/images/ui-icons_222222_256x240.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/css/images/ui-icons_222222_256x240.png	(from http://dev.sunrisetheme.com/html-lyon/css/jquery-ui.css)
22:33:36	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:32%20GMT	http://dev.sunrisetheme.com/html-lyon/css/images/ui-icons_ffffff_256x240.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/css/images/ui-icons_ffffff_256x240.png	(from http://dev.sunrisetheme.com/html-lyon/css/jquery-ui.css)
22:33:36	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:32%20GMT	http://dev.sunrisetheme.com/html-lyon/css/images/ui-icons_ef8c08_256x240.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/css/images/ui-icons_ef8c08_256x240.png	(from http://dev.sunrisetheme.com/html-lyon/css/jquery-ui.css)
